PLATFORM_NUMBER,DATA_TYPE,FORMAT_VERSION,HANDBOOK_VERSION,DATA_CENTRE,DATE_CREATION,DATE_UPDATE,TECHNICAL_PARAMETER_NAME,TECHNICAL_PARAMETER_VALUE,CYCLE_NUMBER
1900683,Argo technical data,3.1,1.2,AO,20210428203909,20210428203909,PRES_InitialStabilizationDuringDescentToPark_dbar,1800.0,6.0
1900683,Argo technical data,3.1,1.2,AO,20210428203909,20210428203909,PRES_SurfaceOffsetCorrectedNotReset_1cBarResolution_dbar,5.3,6.0
1900683,Argo technical data,3.1,1.2,AO,20210428203909,20210428203909,NUMBER_ProfileSamples_COUNT,78,6.0
1900683,Argo technical data,3.1,1.2,AO,20210428203909,20210428203909,VOLTAGE_BatteryCPU_volts,6.7,6.0
1900683,Argo technical data,3.1,1.2,AO,20210428203909,20210428203909,VOLTAGE_Aux_volts,14.1,6.0
1900683,Argo technical data,3.1,1.2,AO,20210428203909,20210428203909,PRESSURE_InternalVacuum_COUNT,70,6.0
1900683,Argo technical data,3.1,1.2,AO,20210428203909,20210428203909,FLAG_System_NUMBER,4,6.0
1900683,Argo technical data,3.1,1.2,AO,20210428203909,20210428203909,PRES_InitialStabilizationDuringDescentToPark_dbar,1800.0,7.0
1900683,Argo technical data,3.1,1.2,AO,20210428203909,20210428203909,PRES_SurfaceOffsetCorrectedNotReset_1cBarResolution_dbar,5.2,7.0
1900683,Argo technical data,3.1,1.2,AO,20210428203909,20210428203909,NUMBER_ProfileSamples_COUNT,78,7.0
1900683,Argo technical data,3.1,1.2,AO,20210428203909,20210428203909,VOLTAGE_BatteryCPU_volts,6.7,7.0
1900683,Argo technical data,3.1,1.2,AO,20210428203909,20210428203909,VOLTAGE_Aux_volts,14.1,7.0
1900683,Argo technical data,3.1,1.2,AO,20210428203909,20210428203909,PRESSURE_InternalVacuum_COUNT,70,7.0
1900683,Argo technical data,3.1,1.2,AO,20210428203909,20210428203909,FLAG_System_NUMBER,4,7.0
1900683,Argo technical data,3.1,1.2,AO,20210428203909,20210428203909,PRES_InitialStabilizationDuringDescentToPark_dbar,1800.0,8.0
1900683,Argo technical data,3.1,1.2,AO,20210428203909,20210428203909,PRES_SurfaceOffsetCorrectedNotReset_1cBarResolution_dbar,5.4,8.0
1900683,Argo technical data,3.1,1.2,AO,20210428203909,20210428203909,NUMBER_ProfileSamples_COUNT,78,8.0
1900683,Argo technical data,3.1,1.2,AO,20210428203909,20210428203909,VOLTAGE_BatteryCPU_volts,6.7,8.0
