platform_number,project_name,pi_name,data_centre,cycle_number,juld,latitude,longitude,pres,temp,psal,pres_qc,temp_qc,psal_qc
1900683,US ARGO PROJECT,BRECK OWENS,AO,0.0,2006-02-15 13:31:03.000000000,-49.042999267578125,7.078999996185303,5.0,5.122000217437744,33.74201965332031,1,1,1
1900683,US ARGO PROJECT,BRECK OWENS,AO,0.0,2006-02-15 13:31:03.000000000,-49.042999267578125,7.078999996185303,10.0,5.120999813079834,33.74314880371094,1,1,1
1900683,US ARGO PROJECT,BRECK OWENS,AO,0.0,2006-02-15 13:31:03.000000000,-49.042999267578125,7.078999996185303,15.0,5.11299991607666,33.74414825439453,1,1,1
1900683,US ARGO PROJECT,BRECK OWENS,AO,0.0,2006-02-15 13:31:03.000000000,-49.042999267578125,7.078999996185303,20.0,5.105000019073486,33.744171142578125,1,1,1
1900683,US ARGO PROJECT,BRECK OWENS,AO,0.0,2006-02-15 13:31:03.000000000,-49.042999267578125,7.078999996185303,25.0,5.0960001945495605,33.74525833129883,1,1,1
1900683,US ARGO PROJECT,BRECK OWENS,AO,0.0,2006-02-15 13:31:03.000000000,-49.042999267578125,7.078999996185303,30.0,5.081999778747559,33.74607849121094,1,1,1
1900683,US ARGO PROJECT,BRECK OWENS,AO,0.0,2006-02-15 13:31:03.000000000,-49.042999267578125,7.078999996185303,35.0,5.078000068664551,33.746429443359375,1,1,1
1900683,US ARGO PROJECT,BRECK OWENS,AO,0.0,2006-02-15 13:31:03.000000000,-49.042999267578125,7.078999996185303,40.0,5.054999828338623,33.747039794921875,1,1,1
1900683,US ARGO PROJECT,BRECK OWENS,AO,0.0,2006-02-15 13:31:03.000000000,-49.042999267578125,7.078999996185303,45.0,5.052999973297119,33.74705123901367,1,1,1
1900683,US ARGO PROJECT,BRECK OWENS,AO,0.0,2006-02-15 13:31:03.000000000,-49.042999267578125,7.078999996185303,50.0,5.050000190734863,33.7470703125,1,1,1
1900683,US ARGO PROJECT,BRECK OWENS,AO,0.0,2006-02-15 13:31:03.000000000,-49.042999267578125,7.078999996185303,55.0,5.046000003814697,33.747161865234375,1,1,1
1900683,US ARGO PROJECT,BRECK OWENS,AO,0.0,2006-02-15 13:31:03.000000000,-49.042999267578125,7.078999996185303,60.0,5.0370001792907715,33.747108459472656,1,1,1
1900683,US ARGO PROJECT,BRECK OWENS,AO,0.0,2006-02-15 13:31:03.000000000,-49.042999267578125,7.078999996185303,65.0,5.031000137329102,33.74739074707031,1,1,1
1900683,US ARGO PROJECT,BRECK OWENS,AO,0.0,2006-02-15 13:31:03.000000000,-49.042999267578125,7.078999996185303,70.0,5.010000228881836,33.7469482421875,1,1,1
1900683,US ARGO PROJECT,BRECK OWENS,AO,0.0,2006-02-15 13:31:03.000000000,-49.042999267578125,7.078999996185303,75.0,4.960000038146973,33.74739074707031,1,1,1
1900683,US ARGO PROJECT,BRECK OWENS,AO,0.0,2006-02-15 13:31:03.000000000,-49.042999267578125,7.078999996185303,80.0,4.88700008392334,33.751869201660156,1,1,1
1900683,US ARGO PROJECT,BRECK OWENS,AO,0.0,2006-02-15 13:31:03.000000000,-49.042999267578125,7.078999996185303,85.0,4.521999835968018,33.75973892211914,1,1,1
1900683,US ARGO PROJECT,BRECK OWENS,AO,0.0,2006-02-15 13:31:03.000000000,-49.042999267578125,7.078999996185303,90.0,3.9170000553131104,33.784549713134766,1,1,1
1900683,US ARGO PROJECT,BRECK OWENS,AO,0.0,2006-02-15 13:31:03.000000000,-49.042999267578125,7.078999996185303,95.0,3.5350000858306885,33.793128967285156,1,1,1
1900683,US ARGO PROJECT,BRECK OWENS,AO,0.0,2006-02-15 13:31:03.000000000,-49.042999267578125,7.078999996185303,100.0,3.124000072479248,33.809791564941406,1,1,1
1900683,US ARGO PROJECT,BRECK OWENS,AO,0.0,2006-02-15 13:31:03.000000000,-49.042999267578125,7.078999996185303,105.0,2.938999891281128,33.818599700927734,1,1,1
1900683,US ARGO PROJECT,BRECK OWENS,AO,0.0,2006-02-15 13:31:03.000000000,-49.042999267578125,7.078999996185303,110.0,2.859999895095825,33.82304000854492,1,1,1
1900683,US ARGO PROJECT,BRECK OWENS,AO,0.0,2006-02-15 13:31:03.000000000,-49.042999267578125,7.078999996185303,115.0,2.808000087738037,33.82447814941406,1,1,1
1900683,US ARGO PROJECT,BRECK OWENS,AO,0.0,2006-02-15 13:31:03.000000000,-49.042999267578125,7.078999996185303,120.0,2.7339999675750732,33.828269958496094,1,1,1
1900683,US ARGO PROJECT,BRECK OWENS,AO,0.0,2006-02-15 13:31:03.000000000,-49.042999267578125,7.078999996185303,125.0,2.621000051498413,33.83628845214844,1,1,1
1900683,US ARGO PROJECT,BRECK OWENS,AO,0.0,2006-02-15 13:31:03.000000000,-49.042999267578125,7.078999996185303,130.0,2.558000087738037,33.84220886230469,1,1,1
1900683,US ARGO PROJECT,BRECK OWENS,AO,0.0,2006-02-15 13:31:03.000000000,-49.042999267578125,7.078999996185303,135.0,2.497999906539917,33.84687042236328,1,1,1
1900683,US ARGO PROJECT,BRECK OWENS,AO,0.0,2006-02-15 13:31:03.000000000,-49.042999267578125,7.078999996185303,140.0,2.4549999237060547,33.8515510559082,1,1,1
1900683,US ARGO PROJECT,BRECK OWENS,AO,0.0,2006-02-15 13:31:03.000000000,-49.042999267578125,7.078999996185303,145.0,2.378000020980835,33.85982894897461,1,1,1
1900683,US ARGO PROJECT,BRECK OWENS,AO,0.0,2006-02-15 13:31:03.000000000,-49.042999267578125,7.078999996185303,150.0,2.3369998931884766,33.86503982543945,1,1,1
1900683,US ARGO PROJECT,BRECK OWENS,AO,0.0,2006-02-15 13:31:03.000000000,-49.042999267578125,7.078999996185303,155.0,2.2360000610351562,33.88307189941406,1,1,1
1900683,US ARGO PROJECT,BRECK OWENS,AO,0.0,2006-02-15 13:31:03.000000000,-49.042999267578125,7.078999996185303,160.0,2.184000015258789,33.897499084472656,1,1,1
1900683,US ARGO PROJECT,BRECK OWENS,AO,0.0,2006-02-15 13:31:03.000000000,-49.042999267578125,7.078999996185303,165.0,2.1589999198913574,33.907711029052734,1,1,1
